beta,q_keep,N_total,N_exec,exact,mean,median,q25,q75,q10,q90
0.0,1,5000,1000,0.0009765625,-0.11961461121157362,-0.22833996383363517,-0.8400433996383371,0.3833634719710668,-1.4517468354430392,1.4390452079566127
0.0,3,5000,1000,0.0009765625,0.02053920336940813,0.022820290264103284,-0.14591591025042633,0.199580760504977,-0.2790503826406004,0.3564842169707891
0.25,1,5000,1000,0.003414727525516201,-0.5069610126582286,-0.5341916817359862,-1.1458951175406882,0.3833634719710668,-3.138864376130202,1.6531414104882507
0.25,3,5000,1000,0.003414727525516201,0.008053324186142274,0.01655278703472516,-0.16108495598276246,0.18152892980037552,-0.3644465577543072,0.30448304028309975
0.5,1,5000,1000,0.01937732735693503,0.09793475587703418,-0.22833996383363517,-0.5341916817359862,0.3833634719710668,-1.1458951175406882,2.9880361663652826
0.5,3,5000,1000,0.01937732735693503,-0.008734878369137104,-0.05440192351530039,-0.2148651086048004,0.1885493329570248,-0.3501045914701002,0.3767934148909612
0.75,1,5000,1000,0.061906402291718246,-0.12247580470162787,-0.22833996383363517,-0.8400433996383371,0.3833634719710668,-1.4517468354430392,2.9880361663652826
0.75,3,5000,1000,0.061906402291718246,0.03179752252966127,0.026582568956720745,-0.16095836218968143,0.18290813586183685,-0.24826099540831312,0.3665131105152895
1.0,1,5000,1000,0.12620646234486788,-0.21097547920434023,-0.5341916817359862,-1.1458951175406882,0.3833634719710668,-3.138864376130202,2.9880361663652826
1.0,3,5000,1000,0.12620646234486788,0.16327250575860525,0.20610145132051705,0.026833535599144462,0.3115296505758605,-0.259092093831074,0.44062777981611567
1.25,1,5000,1000,0.19812289721525933,-0.15118640144665485,-0.5341916817359862,-1.1458951175406882,0.15397468354430358,-2.201576853526222,3.0186213381555205
1.25,3,5000,1000,0.19812289721525933,0.1989257597776885,0.19883008152144405,0.014549495782811934,0.40317023110406747,-0.13152375063773458,0.5546572499810039
1.5,1,5000,1000,0.2685646264407675,0.20735074141048832,-0.5341916817359862,-1.1458951175406882,0.45982640144665454,-1.7575985533453902,3.2938878842676336
1.5,3,5000,1000,0.2685646264407675,0.3043052759462892,0.31240914429621264,0.09114540342802539,0.48365279029124114,-0.0638276087404885,0.6812235033596391
1.75,1,5000,1000,0.33439589441443296,0.46910061482820997,-0.5341916817359862,-0.8400433996383371,2.6821844484629316,-1.7881837251356252,3.3244730560578715
1.75,3,5000,1000,0.33439589441443296,0.29525439718637037,0.30689232005036743,0.09653563388078965,0.45293935933480245,-0.012528250274090335,0.5980846954615027
2.0,1,5000,1000,0.39525247802059427,0.07119739602169987,-0.5341916817359862,-1.1458951175406882,0.3833634719710668,-1.7881837251356252,3.3244730560578715
2.0,3,5000,1000,0.39525247802059427,0.3809620374499311,0.3991592067127645,0.20146412079502393,0.5539811947070765,0.052558726919444465,0.7264543551556076
2.25,1,5000,1000,0.451554394441092,0.33304593128390614,-0.3812658227848107,-1.1458951175406882,2.6821844484629316,-2.063450271247741,2.9880361663652826
2.25,3,5000,1000,0.451554394441092,0.48367375600013035,0.4914260933751616,0.274550937333782,0.6594116149061583,0.140664453393832,0.863952093613973
2.5,1,5000,1000,0.503767488329565,1.1584509222423156,0.23043761301989132,-1.1458951175406882,2.9880361663652826,-1.4517468354430392,5.317442314647385
2.5,3,5000,1000,0.503767488329565,0.5457279901001921,0.5606262583719593,0.318552274676248,0.7062957372208897,0.21522864170728256,0.9154006994995822
2.75,1,5000,1000,0.5522275876983467,0.419079059674503,-0.5341916817359862,-1.222358047016276,2.0704810126582296,-1.7575985533453902,3.3244730560578715
2.75,3,5000,1000,0.5522275876983467,0.5385223602357718,0.548841930896736,0.36581395742648415,0.6856120881864466,0.23022267707304356,0.8666598682196635
3.0,1,5000,1000,0.5971482620532218,0.6961215189873424,-0.3812658227848107,-1.1458951175406882,2.6821844484629316,-1.4517468354430392,3.5997396021699846
3.0,3,5000,1000,0.5971482620532218,0.6439416757161622,0.6569041694256593,0.41169643411525897,0.8508391975945206,0.3205831056305157,1.0347453322188818
