bootstrap,q,K,case,lower_mode,N_req,N_U_req,N_M_req,total_copy_cost,abs_error_at_crossing,epsilon_eff,found,used_fallback,file,state
0,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
0,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
0,1,4,NM1_vary_NU,exact,7930,7930,1,31720,0.05562149406945044,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,1,2,NM1_vary_NU,exact,231,231,1,462,0.0722937925170073,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,1,3,NM1_vary_NU,exact,579,579,1,1737,0.01081313895766467,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,1,4,NM1_vary_NU,exact,1879,1879,1,7516,0.003718583970475642,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,1,2,NM1_vary_NU,exact,32,32,1,64,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,1,3,NM1_vary_NU,exact,1446,1446,1,4338,0.08811642180196005,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,1,4,NM1_vary_NU,exact,5355,5355,1,21420,0.06357498388457694,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,1,4,NM1_vary_NU,exact,9039,9039,1,36156,0.048484819043333516,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,1,2,NM1_vary_NU,exact,48,48,1,96,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,1,3,NM1_vary_NU,exact,579,579,1,1737,0.01081313895766467,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,1,4,NM1_vary_NU,exact,22599,22599,1,90396,0.09335231378346129,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,1,2,NM1_vary_NU,exact,48,48,1,96,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,1,3,NM1_vary_NU,exact,752,752,1,2256,0.04114871944855991,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,1,4,NM1_vary_NU,exact,4121,4121,1,16484,0.09640236789088186,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
6,1,2,NM1_vary_NU,exact,264,264,1,528,0.0019990079365085345,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
6,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
6,1,4,NM1_vary_NU,exact,9039,9039,1,36156,0.048484819043333516,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
7,1,2,NM1_vary_NU,exact,343,343,1,686,0.059382505553242204,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
7,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
7,1,4,NM1_vary_NU,exact,11745,11745,1,46980,0.04186294042812022,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
