q,K,case,lower_mode,mean_N_req,median_N_req,q16_N_req,q84_N_req,mean_total_copy_cost,median_total_copy_cost,geom_mean_total_copy_cost,q16_total_copy_cost,q84_total_copy_cost,found_rate,fallback_rate,epsilon_eff_mean,B,num_grid,file,state
1,2,NM1_vary_NU,exact,61.9,32.0,17.0,95.07999999999996,123.8,64.0,79.00218215251986,34.0,190.1599999999999,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,3,NM1_vary_NU,exact,898.0933333333334,579.0,203.0,1446.0,2694.28,1737.0,1669.8595703505873,609.0,4338.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,4,NM1_vary_NU,exact,6615.076666666667,4121.0,1879.0,9241.399999999996,26460.306666666667,16484.0,17941.58788217224,7516.0,36965.599999999984,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,2,NM1_vary_NU,exact,27.0,11.0,10.0,42.0,54.0,22.0,37.45772524307737,20.0,84.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,3,NM1_vary_NU,exact,230.78666666666666,90.0,79.0,376.0,692.36,270.0,464.0423039900917,237.0,1128.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,4,NM1_vary_NU,exact,1535.87,1061.0,555.0,2307.0,6143.48,4244.0,4382.734984166914,2220.0,9228.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,2,NM1_vary_NU,exact,24.94333333333333,21.0,13.0,35.0,49.88666666666666,42.0,44.21992965032006,26.0,70.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,3,NM1_vary_NU,exact,67.28666666666666,35.0,28.0,98.0,201.86,105.0,146.80920690072765,84.0,294.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,4,NM1_vary_NU,exact,280.4266666666667,162.0,126.0,445.0,1121.7066666666667,648.0,879.7518888850378,504.0,1780.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,2,NM1_vary_NU,exact,15.223333333333333,13.0,10.0,21.0,30.446666666666665,26.0,28.6614801029659,20.0,42.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,3,NM1_vary_NU,exact,17.67,13.0,10.0,26.0,53.01,39.0,45.99009780224351,30.0,78.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,4,NM1_vary_NU,exact,40.75333333333333,26.0,21.0,61.0,163.01333333333332,104.0,134.6965748008554,84.0,244.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,2,NM1_vary_NU,exact,15.72,14.0,10.0,21.0,31.44,28.0,29.089562459675864,20.0,42.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,3,NM1_vary_NU,exact,15.816666666666666,14.0,10.0,21.0,47.45,42.0,44.11352687606727,30.0,63.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,4,NM1_vary_NU,exact,15.656666666666666,12.0,10.0,21.0,62.626666666666665,48.0,57.235246866205756,40.0,84.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
